num_samples	omega_hat_bias_x0	omega_err_bias_x0	omega_hat_bias_x1	omega_err_bias_x1	omega_hat_bias_x2	omega_err_bias_x2	omega_hat_log_area_x0	omega_err_log_area_x0	omega_hat_log_area_x1	omega_err_log_area_x1	omega_hat_log_area_x2	omega_err_log_area_x2	omega_hat_log_perimeter_x0	omega_err_log_perimeter_x0	omega_hat_log_perimeter_x1	omega_err_log_perimeter_x1	omega_hat_log_perimeter_x2	omega_err_log_perimeter_x2	omega_hat_circularity_x0	omega_err_circularity_x0	omega_hat_circularity_x1	omega_err_circularity_x1	omega_hat_circularity_x2	omega_err_circularity_x2
16	0.6785503856377848	-5.821449614362216	-0.16591118600959992	4.3340888139904	-0.5126391996322246	30.487360800367775	-4.925651289169316	-3.5256512891693164	1.2792950613335052	1.1792950613335051	3.6463562278373183	1.2463562278373184	6.147441408691263	7.047441408691263	-1.136795471382933	-2.136795471382933	-5.0106459373071	-6.8106459373070996	3.260033321151607	0.4600333211516072	-6.742891336903427	-4.242891336903427	3.4828580157513613	1.9828580157513613
17	0.19645209408743303	-6.303547905912567	-0.15332741531926172	4.346672584680738	-0.0431246787662725	30.956875321233728	-5.021650755276582	-3.621650755276582	1.2818500372167412	1.181850037216741	3.7398007180582313	1.3398007180582314	6.3368158945865245	7.236815894586525	-1.1260736840871455	-2.1260736840871455	-5.210742210520695	-7.010742210520695	3.7630349510452175	0.9630349510452176	-7.001770906505089	-4.501770906505089	3.238735955457811	1.7387359554578108
18	-0.12167401761560455	-6.621674017615605	5.729172162066397	10.229172162066398	-5.60749814443964	25.39250185556036	-5.798254412847977	-4.398254412847978	2.4547227384137424	2.3547227384137424	3.3435316744479024	0.9435316744479025	7.265271683838429	8.165271683838428	-3.4407116357674434	-4.440711635767443	-3.824560048071053	-5.624560048071053	4.512398398731724	1.7123983987317244	-10.293209874315457	-7.7932098743154565	5.7808114755757805	4.2808114755757805
19	-6.286690679434037	-12.786690679434038	1.8698200359226034	6.369820035922603	4.416870643523195	35.4168706435232	-6.1822934403439405	-4.78229344034394	1.5039871810419967	1.4039871810419966	4.678306259315948	2.2783062593159484	8.757530383194377	9.657530383194377	-1.739039187943459	-2.739039187943459	-7.018491195243086	-8.818491195243086	7.340672408672982	4.540672408672982	-6.761742832967955	-4.261742832967955	-0.5789295756994035	-2.0789295756994033
20	-6.765421449298952	-13.265421449298952	2.377562545140434	6.877562545140433	4.387858904154166	35.387858904154164	-6.475528688495548	-5.075528688495549	1.640308505486821	1.5403085054868209	4.835220183007341	2.4352201830073414	9.21178841292515	10.11178841292515	-1.9812289393040818	-2.981228939304082	-7.230559473617003	-9.030559473617004	7.517250610446213	4.7172506104462135	-7.124676160165878	-4.624676160165878	-0.3925744502717398	-1.8925744502717399
21	-6.75280018224451	-13.25280018224451	2.589766442256322	7.089766442256321	4.163033739986823	35.16303373998682	-6.475054866266807	-5.075054866266807	1.681661038674606	1.581661038674606	4.793393827587589	2.393393827587589	9.209344363028999	10.109344363028999	-2.0660016958665577	-3.0660016958665577	-7.14334266714538	-8.94334266714538	7.511580344083963	4.711580344083963	-7.264653724995962	-4.764653724995962	-0.2469266190828782	-1.7469266190828783
22	-4.315815656302928	-10.815815656302927	-1.044969577155768	3.455030422844232	5.360785233455069	36.36078523345507	-5.903021787074695	-4.503021787074696	0.9481861622534007	0.8481861622534007	4.954835624820986	2.5548356248209863	8.066251543119414	8.966251543119414	-0.5904113898190255	-1.5904113898190255	-7.4758401533063985	-9.2758401533064	6.481244143961885	3.6812441439618855	-4.9161283601736425	-2.4161283601736425	-1.5651157837919072	-3.0651157837919074
23	-4.504842733616873	-11.004842733616872	-0.19585980333032754	4.304140196669673	4.7007025369644095	35.70070253696441	-5.928913668921291	-4.528913668921291	1.1686710196133014	1.0686710196133014	4.760242649289153	2.360242649289153	8.126107406275528	9.026107406275528	-0.993393992262772	-1.9933939922627721	-7.132713413975491	-8.932713413975492	6.634050071589992	3.834050071589992	-5.604898652716041	-3.1048986527160407	-1.0291514188786317	-2.529151418878632
24	-4.433097014539902	-10.933097014539902	-0.09993568434416879	4.400064315655831	4.53303269888294	35.53303269888294	-6.02094786581199	-4.62094786581199	1.1933062513179202	1.0933062513179201	4.827641614466713	2.427641614466713	8.237645848091454	9.137645848091454	-1.027952779310076	-2.027952779310076	-7.209693068779693	-9.009693068779693	6.547847253690651	3.747847253690651	-5.781690160282333	-3.2816901602823334	-0.7661570934003926	-2.2661570934003925
25	-5.837132016229469	-12.337132016229468	-1.1818840789215443	3.318115921078456	7.019016095149651	38.01901609514965	-6.311136983138571	-4.9111369831385705	0.961909008537154	0.861909008537154	5.349227974612779	2.949227974612779	8.820667192195458	9.720667192195458	-0.5512831374170689	-1.551283137417069	-8.269384054775657	-10.069384054775657	7.497919022740952	4.697919022740952	-5.381038279294303	-2.8810382792943026	-2.1168807434454258	-3.6168807434454258
26	-10.399904072249734	-16.899904072249733	2.807004094319479	7.307004094319479	7.5928999779316	38.5928999779316	-7.804510561741737	-6.404510561741738	1.9794330431273044	1.8794330431273043	5.825077518611562	3.425077518611562	11.448367395025569	12.34836739502557	-2.523941678763323	-3.523941678763323	-8.92442571622265	-10.724425716222651	9.140528053267424	6.340528053267424	-6.2327060224429705	-3.7327060224429705	-2.9078220308143337	-4.407822030814334
27	-10.689048368713937	-17.189048368713937	1.6560349095444242	6.156034909544424	9.033013459164968	40.03301345916497	-7.916552060720379	-6.516552060720379	1.758865289648908	1.658865289648908	6.157686771079529	3.757686771079529	11.638587861025071	12.538587861025071	-2.060219557642003	-3.060219557642003	-9.57836830340317	-11.378368303403171	9.317574050176384	6.517574050176385	-5.5874727583315345	-3.0874727583315345	-3.730101291848921	-5.230101291848921
28	-11.323806625535425	-17.823806625535425	1.5471341442694522	6.047134144269452	9.776672481262246	40.776672481262246	-8.14540274027168	-6.745402740271679	1.7808816684942927	1.6808816684942927	6.364521071810105	3.9645210718101054	12.025551977157772	12.925551977157772	-2.067934737537511	-3.067934737537511	-9.95761723963438	-11.757617239634381	9.750496252431983	6.950496252431983	-5.561448489882289	-3.061448489882289	-4.189047762559563	-5.689047762559563
29	-11.270479524904577	-17.770479524904577	1.7416292670595708	6.2416292670595706	9.5288502578429	40.5288502578429	-8.14114293239658	-6.7411429323965795	1.8183319438953425	1.7183319438953424	6.322810988518809	3.9228109885188087	12.011545476887546	12.911545476887547	-2.1442099976415747	-3.1442099976415747	-9.86733547924771	-11.667335479247711	9.72212568667607	6.922125686676071	-5.6971398165825455	-3.1971398165825455	-4.0249858701032615	-5.5249858701032615
30	-8.492058006520574	-14.992058006520574	-2.7796823043414105	1.7203176956585895	11.271740310871284	42.27174031087128	-7.182777116863874	-5.782777116863874	0.6198628193734894	0.5198628193734894	6.562914297491905	4.162914297491906	10.424984551450853	11.324984551450854	0.030713931560002735	-0.9692860684399973	-10.455698483007087	-12.255698483007087	7.318309159739195	4.518309159739196	-2.1588935638875935	0.34110643611240654	-5.1594155958554815	-6.6594155958554815
31	-9.3198306131364	-15.8198306131364	-3.221435706736562	1.2785642932634378	12.541266319866441	43.54126631986644	-7.380812668816712	-5.9808126688167125	0.5021013912370348	0.4021013912370348	6.878711277586671	4.478711277586671	10.811381504426413	11.711381504426413	0.2599865802381791	-0.7400134197618209	-11.071368084687066	-12.871368084687067	7.76952312147613	4.96952312147613	-2.019006638573693	0.4809933614263069	-5.750516482907223	-7.250516482907223
32	-9.02470783890911	-15.52470783890911	-2.181132872646253	2.318867127353747	11.205840711570392	42.20584071157039	-7.271643641541329	-5.871643641541329	0.76322060773482	0.6632206077348201	6.5084230337877536	4.108423033787753	10.620094441474542	11.520094441474543	-0.23004876998609203	-1.230048769986092	-10.390045671417084	-12.190045671417085	7.687802951424277	4.887802951424277	-2.755277108872764	-0.2552771088727641	-4.932525842552229	-6.432525842552229
33	-10.496448279262653	-16.99644827926265	-2.2156771620383835	2.2843228379616165	12.712125441309952	43.71212544130995	-7.397848962014739	-5.997848962014739	0.6640757707455848	0.5640757707455848	6.7337731912994885	4.333773191299489	10.994181602168652	11.894181602168652	-0.0869710659575187	-1.0869710659575187	-10.907210536243388	-12.70721053624339	9.005581460858803	6.205581460858803	-2.979366324822653	-0.47936632482265296	-6.026215136039194	-7.526215136039194
34	-11.550958071809386	-18.050958071809386	-3.2028810978623423	1.2971189021376577	14.753839169649751	45.75383916964975	-7.705721195069388	-6.305721195069388	0.4914285727968412	0.3914285727968412	7.214292622258943	4.814292622258943	11.541153577622547	12.441153577622547	0.2915238216653836	-0.7084761783346164	-11.83267739930629	-13.63267739930629	9.69322856368232	6.89322856368232	-2.4582866606998897	0.04171333930011034	-7.234941902999476	-8.734941902999477
35	-10.971737791051595	-17.471737791051595	-1.6277429416768914	2.8722570583231084	12.599480732679952	43.59948073267995	-7.532672010819366	-6.132672010819366	0.9286978475469664	0.8286978475469664	6.603974163239703	4.203974163239703	11.2169366804129	12.1169366804129	-0.516672849657142	-1.516672849657142	-10.700263830799523	-12.500263830799524	9.470204477330418	6.670204477330418	-3.4138951966565165	-0.9138951966565165	-6.056309280667237	-7.556309280667237
36	-11.10019944937433	-17.60019944937433	-2.0293110092938496	2.4706889907061504	13.129510458673947	44.12951045867395	-7.600659238195275	-6.200659238195275	0.8604984250613971	0.7604984250613971	6.740160813142171	4.340160813142171	11.32467459616233	12.22467459616233	-0.36302074936262824	-1.3630207493626283	-10.961653846786426	-12.761653846786427	9.5404695906913	6.7404695906913	-3.221614517392162	-0.7216145173921622	-6.318855073298794	-7.818855073298794
37	-12.933521455620978	-19.433521455620976	-1.9522869444300488	2.547713055569951	14.885808400054229	45.88580840005423	-7.859794308609284	-6.459794308609284	0.8177797463080236	0.7177797463080237	7.04201456229244	4.64201456229244	11.929851615912737	12.829851615912737	-0.31122673745463875	-1.3112267374546387	-11.618624878470586	-13.418624878470586	10.937835150915076	8.137835150915077	-3.461710930673677	-0.9617109306736769	-7.476124220238405	-8.976124220238404
38	-13.262930154340479	-19.76293015434048	-2.1742684709255884	2.3257315290744116	15.437198625262457	46.437198625262454	-7.950044354514759	-6.550044354514759	0.7513788735528707	0.6513788735528707	7.198665480959598	4.798665480959597	12.095773908745585	12.995773908745585	-0.18223199364026274	-1.1822319936402628	-11.913541915108318	-13.713541915108319	11.177839190406186	8.377839190406185	-3.469212801351433	-0.969212801351433	-7.708626389068292	-9.208626389068293
39	-13.202333101576496	-19.702333101576496	-2.2369697309307464	2.2630302690692536	15.439302832481342	46.439302832481346	-7.9622019346257975	-6.562201934625797	0.7247647420032742	0.6247647420032743	7.237437192635454	4.837437192635454	12.104301603755315	13.004301603755316	-0.13138168318831883	-1.1313816831883188	-11.97291992054485	-13.772919920544851	11.14359512219332	8.343595122193321	-3.53600641190857	-1.03600641190857	-7.607588710300534	-9.107588710300533
40	-14.134973042457334	-20.634973042457332	-2.6619180634644795	1.8380819365355205	16.796891105905605	47.7968911059056	-8.2285820947865	-6.8285820947864995	0.6881626019226093	0.5881626019226093	7.540419492858778	5.140419492858777	12.584615604924418	13.484615604924418	-0.010158003833193102	-1.0101580038331932	-12.574457601119981	-14.374457601119982	11.70188697928007	8.901886979280071	-3.4715547682794528	-0.9715547682794528	-8.230332210972406	-9.730332210972406
41	-14.006297423138154	-20.506297423138154	-3.0786377854022255	1.4213622145977745	17.084935208548806	48.084935208548806	-8.251186900896085	-6.851186900896085	0.6221954547784032	0.5221954547784032	7.628991446123004	5.228991446123004	12.596911865248472	13.496911865248473	0.14253166210695706	-0.857468337893043	-12.739443527351618	-14.539443527351619	11.615935891360369	8.815935891360368	-3.277857697901411	-0.7778576979014109	-8.338078193454278	-9.838078193454278
42	-14.617354018603272	-21.117354018603272	-3.9596089948597504	0.5403910051402496	18.57696301346241	49.57696301346241	-8.38530200457514	-6.985302004575139	0.437415894818449	0.337415894818449	7.947886109768676	5.547886109768676	12.86559147044554	13.76559147044554	0.52180267547445	-0.47819732452554997	-13.387394145934097	-15.187394145934098	11.946479234412218	9.146479234412219	-2.878517594434986	-0.3785175944349861	-9.067961639985223	-10.567961639985223
43	-14.997442572928255	-21.497442572928257	-4.357436592721242	0.14256340727875827	19.354879165691973	50.35487916569197	-8.486937085308357	-7.086937085308357	0.3443654540534116	0.24436545405341162	8.142571631226758	5.742571631226758	13.05450395165488	13.95450395165488	0.7085164835090008	-0.29148351649099924	-13.763020435137724	-15.563020435137725	12.177730528785668	9.37773052878567	-2.7358832133339743	-0.23588321333397433	-9.441847315499926	-10.941847315499926
44	-15.477211641253064	-21.977211641253064	-4.4506256532816435	0.0493743467183565	19.927837294537838	50.92783729453784	-8.600135391237233	-7.200135391237232	0.32646673195431175	0.22646673195431175	8.273668659284393	5.873668659284393	13.2718780102392	14.171878010239201	0.7516962179522477	-0.24830378204775228	-14.023574228191867	-15.823574228191868	12.51078734317789	9.710787343177891	-2.7549164349921083	-0.25491643499210825	-9.755870908186507	-11.255870908186507
45	-15.635175585430712	-22.135175585430712	-4.083611811420736	0.41638818857926374	19.718787396832322	50.718787396832326	-8.629202498321314	-7.229202498321314	0.4216070487717588	0.32160704877175883	8.207595449535324	5.807595449535324	13.330924894303639	14.230924894303639	0.5795547338006668	-0.4204452661993332	-13.910479628105993	-15.710479628105993	12.661172973952626	9.861172973952627	-3.0779901893676374	-0.5779901893676374	-9.58318278460435	-11.08318278460435
46	-15.757732402966564	-22.257732402966564	-4.3954579989101985	0.1045420010898015	20.15319040185502	51.15319040185502	-8.690987382708906	-7.290987382708906	0.36953478646373783	0.26953478646373785	8.321452596231943	5.921452596231942	13.432184797615076	14.332184797615076	0.6960450571147626	-0.3039549428852374	-14.12822985471558	-15.92822985471558	12.69958369453293	9.899583694532929	-2.90575405194239	-0.4057540519423899	-9.793829642572927	-11.293829642572927
47	-16.135318966033214	-22.635318966033214	-4.588899411365685	-0.08889941136568513	20.724218377408583	51.72421837740858	-8.80500523284379	-7.40500523284379	0.34204107498172853	0.24204107498172853	8.462964157921286	6.062964157921286	13.637995750483242	14.537995750483242	0.7643442675718635	-0.23565573242813653	-14.402340018074765	-16.202340018074764	12.910266940246279	10.11026694024628	-2.822329573560316	-0.322329573560316	-10.087937366641846	-11.587937366641846
48	-16.186093200025912	-22.686093200025912	-4.632527134942658	-0.13252713494265844	20.818620335031344	51.81862033503134	-8.822350334440502	-7.422350334440502	0.3404692359933389	0.2404692359933389	8.48188109845269	6.081881098452689	13.668623298028805	14.568623298028806	0.7782937679103662	-0.2217062320896338	-14.446917065946515	-16.246917065946516	12.954842553342194	10.154842553342196	-2.8693232630254992	-0.3693232630254992	-10.08551929043244	-11.58551929043244
49	-16.572815132880468	-23.072815132880468	-5.839657608390836	-1.3396576083908363	22.412472741339677	53.41247274133968	-8.466359654780494	-7.066359654780493	-0.2549868567511505	-0.3549868567511505	8.721346511519199	6.321346511519199	13.312699550325195	14.212699550325196	1.7168627115107993	0.7168627115107993	-15.029562261830154	-16.829562261830155	12.897300655580336	10.097300655580337	-1.9139562800031518	0.5860437199968482	-10.983344375572942	-12.483344375572942
50	-17.513055777922247	-24.013055777922247	-5.885894339977779	-1.3858943399777788	23.398950117885033	54.398950117885036	-8.622477891140278	-7.222477891140278	-0.2803027279703692	-0.38030272797036924	8.902780619103764	6.502780619103763	13.655905304558281	14.555905304558282	1.757067642371907	0.7570676423719069	-15.412972946923526	-17.212972946923525	13.602914843320129	10.802914843320128	-1.9507132087459085	0.5492867912540915	-11.652201634557995	-13.152201634557995
