num_samples	m_hat_log_area_x0	sigma_hat_log_area_x0	m_err_log_area_x0	sigma_err_log_area_x0	m_hat_log_area_x1	sigma_hat_log_area_x1	m_err_log_area_x1	sigma_err_log_area_x1	m_hat_log_area_x2	sigma_hat_log_area_x2	m_err_log_area_x2	sigma_err_log_area_x2	m_hat_log_perimeter_x0	sigma_hat_log_perimeter_x0	m_err_log_perimeter_x0	sigma_err_log_perimeter_x0	m_hat_log_perimeter_x1	sigma_hat_log_perimeter_x1	m_err_log_perimeter_x1	sigma_err_log_perimeter_x1	m_hat_log_perimeter_x2	sigma_hat_log_perimeter_x2	m_err_log_perimeter_x2	sigma_err_log_perimeter_x2	m_hat_circularity_x0	sigma_hat_circularity_x0	m_err_circularity_x0	sigma_err_circularity_x0	m_hat_circularity_x1	sigma_hat_circularity_x1	m_err_circularity_x1	sigma_err_circularity_x1	m_hat_circularity_x2	sigma_hat_circularity_x2	m_err_circularity_x2	sigma_err_circularity_x2
11	4.725892466236757	0.801831577919511	0.7258924662367567	-0.19816842208048902	8.82326144846063	1.0678208707082824	2.323261448460631	-0.43217912929171765	8.500217280208298	0.8152548548310663	-0.4997827197917015	-0.1847451451689337	4.048882103243179	0.5243596030849933	0.5488821032431792	0.024359603084993298	6.495773645479489	0.7227665626089972	1.4957736454794892	0.2227665626089972	5.817540407042612	0.42533572083262894	-0.18245959295738778	-0.07466427916737106	0.4705994627529125	0.154295980286967	0.020599462752912467	-0.045704019713033006	0.2170024975225535	0.12160553380402471	-0.2829975024774465	0.021605533804024704	0.5607463263792632	0.12299489081057402	-0.1392536736207367	0.022994890810574015
12	4.737113371950697	0.8131090746662029	0.7371133719506968	-0.18689092533379714	8.804648576796179	1.0245608821104537	2.304648576796179	-0.4754391178895463	8.571259584885988	0.800788128551248	-0.42874041511401195	-0.19921187144875196	4.051503025475855	0.5250423988585506	0.5515030254758546	0.02504239885855064	6.495618275815813	0.6919965263689271	1.4956182758158132	0.19199652636892706	5.861744512744844	0.4246755715724771	-0.13825548725515624	-0.0753244284275229	0.4723377442025942	0.15217605764899644	0.022337744202594212	-0.04782394235100357	0.21213784884234407	0.11774218807326119	-0.2878621511576559	0.01774218807326118	0.5507987466636444	0.12015168012045527	-0.1492012533363556	0.020151680120455262
13	4.737113371950697	0.8131090746662029	0.7371133719506968	-0.18689092533379714	8.804648576796179	1.0245608821104537	2.304648576796179	-0.4754391178895463	8.674247037272073	0.8329501983819134	-0.3257529627279272	-0.16704980161808658	4.051503025475855	0.5250423988585506	0.5515030254758546	0.02504239885855064	6.495618275815813	0.6919965263689271	1.4956182758158132	0.19199652636892706	5.8961564520562915	0.41873667646899376	-0.10384354794370854	-0.08126332353100624	0.4723377442025942	0.15217605764899644	0.022337744202594212	-0.04782394235100357	0.21213784884234407	0.11774218807326119	-0.2878621511576559	0.01774218807326118	0.5721259663667175	0.13414968101000452	-0.12787403363328242	0.03414968101000451
14	4.751107159677221	0.8289945688229705	0.751107159677221	-0.1710054311770295	8.857762261352779	1.0042269728302684	2.3577622613527787	-0.4957730271697316	8.536854643719277	0.9258794710612207	-0.46314535628072306	-0.0741205289387793	4.058488442544699	0.5283527492816036	0.5584884425446992	0.028352749281603584	6.517926609236106	0.6700680072694352	1.5179266092361061	0.17006800726943516	5.821805606547056	0.47511782350092147	-0.1781943934529444	-0.024882176499078534	0.4712924971007338	0.1493651584354539	0.021292497100733776	-0.05063484156454612	0.21238306337586452	0.11312675597203285	-0.28761693662413546	0.013126755972032847	0.5781855650824891	0.12961770445203116	-0.12181443491751087	0.029617704452031157
15	4.751107159677221	0.8289945688229705	0.751107159677221	-0.1710054311770295	8.857762261352779	1.0042269728302684	2.3577622613527787	-0.4957730271697316	8.626644406597249	0.9437286059834289	-0.37335559340275104	-0.05627139401657111	4.058488442544699	0.5283527492816036	0.5584884425446992	0.028352749281603584	6.517926609236106	0.6700680072694352	1.5179266092361061	0.17006800726943516	5.853995624902726	0.46946362871561104	-0.1460043750972737	-0.030536371284388963	0.4712924971007338	0.1493651584354539	0.021292497100733776	-0.05063484156454612	0.21238306337586452	0.11312675597203285	-0.28761693662413546	0.013126755972032847	0.5941249957221013	0.1367608778255855	-0.10587500427789864	0.036760877825585486
16	4.718240206007681	0.8267304554494065	0.7182402060076809	-0.1732695445505935	8.907910683580115	0.9869959857124317	2.4079106835801145	-0.5130040142875683	8.626644406597249	0.9437286059834289	-0.37335559340275104	-0.05627139401657111	4.044623726370797	0.5258667572018078	0.5446237263707969	0.025866757201807755	6.550692097467608	0.6580455891045178	1.550692097467608	0.15804558910451783	5.853995624902726	0.46946362871561104	-0.1460043750972737	-0.030536371284388963	0.46885520343931525	0.1480151447836533	0.018855203439315238	-0.051984855216346715	0.20843697882034593	0.11007778107673288	-0.29156302117965405	0.010077781076732878	0.5941249957221013	0.1367608778255855	-0.10587500427789864	0.036760877825585486
17	4.68499020707116	0.8115854109272164	0.6849902070711602	-0.18841458907278363	8.952062374406939	0.9697458187264946	2.452062374406939	-0.5302541812735054	8.626644406597249	0.9437286059834289	-0.37335559340275104	-0.05627139401657111	4.026618810057753	0.5126742579932427	0.5266188100577534	0.012674257993242732	6.578680694016545	0.6455149227082598	1.578680694016545	0.14551492270825983	5.853995624902726	0.46946362871561104	-0.1460043750972737	-0.030536371284388963	0.46830575881171604	0.14275845057624637	0.018305758811716033	-0.057241549423753646	0.20523800527195613	0.10711230058154583	-0.2947619947280439	0.007112300581545827	0.5941249957221013	0.1367608778255855	-0.10587500427789864	0.036760877825585486
18	4.68599832225914	0.8080770479690473	0.6859983222591399	-0.19192295203095266	8.731919190403223	1.1457302875229938	2.2319191904032234	-0.3542697124770062	8.68749910904791	0.9348584358690833	-0.31250089095209077	-0.06514156413091665	4.024704905446404	0.5089942644096571	0.5247049054464039	0.008994264409657116	6.418069409293143	0.779287811065772	1.4180694092931434	0.27928781106577205	5.89660096756283	0.47838850922506376	-0.10339903243716986	-0.021611490774936237	0.47012367848545683	0.141435813989375	0.02012367848545682	-0.05856418601062502	0.23488554815333051	0.13299025342581342	-0.2651144518466695	0.03299025342581341	0.5810722855090473	0.14017856272910895	-0.11892771449095263	0.04017856272910894
19	4.707510227172975	0.8215433410845423	0.7075102271729747	-0.1784566589154577	8.756729536015643	1.1186892968262694	2.2567295360156425	-0.3813107031737306	8.672218640677787	0.9027939689953227	-0.32778135932221275	-0.09720603100467728	4.0364216562836255	0.5180217231320549	0.5364216562836255	0.018021723132054857	6.4422934650298895	0.7646570996129893	1.4422934650298895	0.26465709961298933	5.892286401544209	0.46128946642200575	-0.10771359845579109	-0.038710533577994255	0.4698713282835335	0.1433243558954284	0.019871328283533496	-0.0566756441045716	0.22950255435525943	0.13135594822405686	-0.27049744564474054	0.03135594822405685	0.5764894415071032	0.1362405695963356	-0.12351055849289672	0.03624056959633559
20	4.726811934257004	0.8300717688486983	0.7268119342570039	-0.16992823115130173	8.551216976132867	1.317075705569152	2.051216976132867	-0.182924294430848	8.719837708046533	0.8927386868454212	-0.28016229195346654	-0.10726131315457876	4.049966672948545	0.5259991277880348	0.5499666729485453	0.025999127788034815	6.31554408557899	0.8657461658541258	1.3155440855789902	0.3657461658541258	5.92029095793068	0.459510815865696	-0.07970904206931984	-0.040489184134304024	0.4667698563199695	0.14437451202810692	0.016769856319969467	-0.055625487971893095	0.24084487670290483	0.13200122166122127	-0.25915512329709517	0.03200122166122127	0.5711215355193779	0.13336075354251486	-0.128878464480622	0.03336075354251486
